family,sigma,stride,class,seed,split,n_frames,L,R,eta,speed_mean,speed_std,speed_max,speed_change_mean_signed,speed_change_mean_abs,speed_change_max_abs,mean_cosine,angle_valid_fraction,efficiency_valid_flag,efficiency_valid_flag_calibrated,angle_valid_fraction_calibrated,n_angles,n_angles_valid,e95
B,0.0,16,jump,1014,test,9,0.46620416876422577,0.46620416876422577,1.0,0.46620416876422577,1.233460290731728,3.729633350113806,0.0,8.524876228831557,29.83706680091045,nan,0.0,1.0,1.0,0.0,7,0,0.0
B,0.05,8,return,1000,train,17,1.6450816756302782,0.032148072852794723,0.01954193115699126,1.6450816756302782,1.624127297594689,5.039183652355673,0.035695754506464776,20.000580270629463,54.90214170665075,-0.04133943846783305,1.0,1.0,1.0,0.2,15,15,0.054708738634047294
B,0.05,8,return,1001,train,17,1.851017937812724,0.03933830827625641,0.021252256648977133,1.851017937812724,1.719018277490183,5.472974329440677,0.07051766923012343,19.92684096319863,51.050203252180566,0.2791080107734095,1.0,1.0,1.0,0.26666666666666666,15,15,0.054708738634047294
B,0.05,8,return,1002,train,17,1.6919087438292577,0.041079197807482565,0.02427979520603988,1.6919087438292577,1.6146227005658471,5.7826212285614105,0.34529761589000374,19.699055418618272,52.87676625391748,-0.03202379055528369,1.0,1.0,1.0,0.2,15,15,0.054708738634047294
B,0.05,8,return,1003,train,17,1.62220985527938,0.030107953613411342,0.018559838923075767,1.62220985527938,1.4370579587531407,5.020591000860241,0.07374145676699276,19.07422317974149,60.118603689587076,0.03920277034957061,1.0,1.0,0.0,0.13333333333333333,15,15,0.054708738634047294
B,0.05,8,return,1004,train,17,1.6160644911832733,0.023147838225077932,0.01432358569312368,1.6160644911832733,1.6998774498061011,5.730816420549466,-0.027021148841995312,20.088202383612817,61.674725683596066,0.05909860889088091,1.0,1.0,0.0,0.26666666666666666,15,15,0.054708738634047294
B,0.05,8,return,1005,test,17,1.69112200300924,0.039415118918790876,0.02330708183599662,1.69112200300924,1.5063227631565825,4.7981765189209575,0.04674413360607162,17.022895839912923,63.014784600478336,0.22653059369229941,1.0,1.0,1.0,0.2,15,15,0.054708738634047294
B,0.05,8,return,1006,test,17,1.6762996507020465,0.02575630992676453,0.015364979594177928,1.6762996507020465,1.8770553830886898,6.03317412317606,0.31921807274064,24.646899638244385,74.24477066759687,0.1662109240344019,1.0,1.0,1.0,0.2,15,15,0.054708738634047294
B,0.05,8,return,1007,test,17,1.4545100655455792,0.03712826812841041,0.02552630539169476,1.4545100655455792,1.5942362408355835,5.274491288386817,-0.1089729175215955,22.05340588116929,78.19604567125299,0.13270710655794818,1.0,1.0,0.0,0.13333333333333333,15,15,0.054708738634047294
B,0.05,8,return,1008,test,17,1.4603091272452242,0.027836719619372396,0.019062210253992257,1.4603091272452242,1.4712230785457512,5.108795080848395,0.12947497731798527,18.87423491115309,64.84142520583698,0.08762924296947619,1.0,1.0,0.0,0.2,15,15,0.054708738634047294
B,0.05,8,return,1009,test,17,1.722061978728618,0.03268880392708995,0.018982362035089923,1.722061978728618,1.7081281520455813,5.85721802746151,-0.06691724584664757,23.05736979784121,65.61564400229364,0.07573604820337869,1.0,1.0,1.0,0.2,15,15,0.054708738634047294
B,0.05,8,return,1010,test,17,1.5770957141647863,0.03797612492294325,0.02407978449364756,1.5770957141647863,1.4590046806631531,4.42950241455572,0.026865007464263138,16.2342989914324,55.621932125920324,0.15858421128632083,1.0,1.0,0.0,0.2,15,15,0.054708738634047294
B,0.05,8,return,1011,test,17,1.5403072989980824,0.021398213241069462,0.013892171552383264,1.5403072989980824,1.7304575976765568,5.8954173330658275,0.08894332897856477,21.13128886864249,65.21542767068107,0.17442601495334167,1.0,1.0,0.0,0.2,15,15,0.054708738634047294
B,0.05,8,return,1012,test,17,1.7446244485781408,0.04461499354153953,0.025572835218433686,1.7446244485781408,1.67796814220899,5.791763341562307,-0.4698955091891281,20.28172424583834,72.18385539762068,0.15491885787948229,1.0,1.0,1.0,0.2,15,15,0.054708738634047294
B,0.05,8,return,1013,test,17,1.5716672042854214,0.03203278556453007,0.020381404840151378,1.5716672042854214,1.6847961319831284,5.382034477540897,-0.21539580493263835,20.22950245246834,56.11315305984662,0.08706675540527055,1.0,1.0,0.0,0.2,15,15,0.054708738634047294
B,0.05,8,return,1014,test,17,1.73494360939787,0.03219678071531509,0.0185578254768115,1.73494360939787,1.8394561791386712,6.2215962490422125,-0.017882602882477745,22.855323208786263,86.9770293544574,0.1429733554274923,1.0,1.0,1.0,0.13333333333333333,15,15,0.054708738634047294
B,0.05,8,ramp,1000,train,17,1.1475114653699627,0.43599576179111904,0.3799489372862624,1.1475114653699627,1.0251483804535642,4.06443439076724,-0.3694728890486771,11.107907677726113,31.06987621273163,0.14620464714150846,1.0,1.0,0.0,0.13333333333333333,15,15,0.054708738634047294
B,0.05,8,ramp,1001,train,17,1.2313209932109377,0.44080283166785517,0.3579918105013103,1.2313209932109377,1.106952338211509,4.226060321978257,0.9228670334292507,13.558657888466199,52.5584526215204,0.2217576560146567,1.0,1.0,0.0,0.06666666666666667,15,15,0.054708738634047294
B,0.05,8,ramp,1002,train,17,1.1352505811271696,0.4268710389790922,0.37601481653086644,1.1352505811271696,1.1358275068652746,4.628029273870249,0.30350009037827236,10.139608261498259,40.51711028036567,0.3008361434115579,1.0,1.0,0.0,0.13333333333333333,15,15,0.054708738634047294
B,0.05,8,ramp,1003,train,17,1.142720506002957,0.45122848282274025,0.39487213229511486,1.142720506002957,1.1610946410935445,3.711442938077335,-0.19174121909602823,8.181985403734318,48.750665684836925,0.08921650730242815,1.0,1.0,0.0,0.13333333333333333,15,15,0.054708738634047294
