run_id,family,config,z_value,seed,sigma,interval,u_mid,distance,above_e_static_05,above_e_loo
A_static_13_sigma100_stride1,A,static_z0.5,0.5,13,0.1,7,0.05859375,0.0424653129709906,,false
A_static_13_sigma100_stride1,A,static_z0.5,0.5,13,0.1,8,0.06640625,0.0351364525811717,,false
A_static_13_sigma100_stride1,A,static_z0.5,0.5,13,0.1,9,0.07421875,0.0536819263651364,,false
A_static_13_sigma100_stride1,A,static_z0.5,0.5,13,0.1,10,0.08203125,0.0779725056115828,,false
A_static_13_sigma100_stride1,A,static_z0.5,0.5,13,0.1,11,0.08984375,0.0452391806268313,,false
A_static_13_sigma100_stride1,A,static_z0.5,0.5,13,0.1,12,0.09765625,0.0598779928396563,,false
A_static_13_sigma100_stride1,A,static_z0.5,0.5,13,0.1,13,0.10546875,0.0281524967961283,,false
A_static_13_sigma100_stride1,A,static_z0.5,0.5,13,0.1,14,0.11328125,0.0607421455359883,,false
A_static_13_sigma100_stride1,A,static_z0.5,0.5,13,0.1,15,0.12109375,0.0510603697310019,,false
A_static_13_sigma100_stride1,A,static_z0.5,0.5,13,0.1,16,0.12890625,0.0660839314930887,,false
A_static_13_sigma100_stride1,A,static_z0.5,0.5,13,0.1,17,0.13671875,0.0459941159057335,,false
A_static_13_sigma100_stride1,A,static_z0.5,0.5,13,0.1,18,0.14453125,0.0288246209789648,,false
