run_id,comparison,family,seed,sigma,degree,frame,u,distance,tolerance
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,93,0.7265625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,94,0.734375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,95,0.7421875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,96,0.75,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,97,0.7578125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,98,0.765625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,99,0.7734375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,100,0.78125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,101,0.7890625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,102,0.796875,0,1.53633563851169e-07
